,,job_id,user,num_gpu,num_cpu,num_pod,duration,job_name,submit_time,group,gpu_type,wait_time,user_dur,group_dur,group_gpu_dur,read_count,write_count,num_inst,size,on_time,wasted,jct,resource,node,exec_time,bw,final_node_allocation,final_gpu_allocation,deadline
37,39,39,58540f191766,0.08333333333333333,2.0,1.0,70,d894fd1af131ed7a296716b5,38,4cf4f19e7afe21d971f2c7822bd60f29,SERVER,10,345.0,43.0,43.0,7914.727272727273,995.821870701513,1,145,0,0,38,"[0.08333333333333333, 2.0]",,38,995.821870701513,"[7, 7]","['SERVER', 'SERVER']",533.422412967286
38,40,40,5b1345f03aa1,0.3333333333333333,6.0,1.0,103,4338499d3c24cc35be17b44c,39,cb8db43856d5c682aad5b7960bd8e72c,SERVER,7,436.0,153773.5,153455.0,3987.3481058112393,2143.128573005187,1,652,0,0,39,"[0.3333333333333333, 6.0]",,39,2143.128573005187,"[7, 7, 1, 1]","['SERVER', 'SERVER', 'SERVER', 'SERVER']",574.2128119680023
39,41,41,5b1345f03aa1,0.3333333333333333,6.0,1.0,76,4338499d3c24cc35be17b44c,40,88a6ad0a3248394e3890eecab86dbb1a,SERVER,5,436.0,28759.0,28505.0,3987.3481058112393,2143.128573005187,1,481,0,0,40,"[0.3333333333333333, 6.0]",,40,2143.128573005187,"[7, 1, 1, 1]","['SERVER', 'SERVER', 'SERVER', 'SERVER']",543.1861952079976
40,42,42,3d5e1fb89ab2,0.0,2.6666666666666665,1.0,12,97d91ddd2cc12db098a29658,41,e0eb94224e294047a8087fa5cd19a752,SERVER,2,1229.0,1229.0,1229.0,0.0,0.0,1,32,0,0,41,"[0.0, 2.6666666666666665]",,41,0.0,[1],['SERVER'],479.7155442338997
41,43,43,5b1345f03aa1,0.3333333333333333,6.0,1.0,50,4338499d3c24cc35be17b44c,42,afbce8e900f1c3ad875609703e046f7a,SERVER,12,436.0,15.0,15.0,3987.3481058112393,2143.128573005187,1,316,0,0,42,"[0.3333333333333333, 6.0]",,42,2143.128573005187,[1],['SERVER'],520.5852342387903
42,44,44,5b1345f03aa1,0.3333333333333333,6.0,1.0,31,4338499d3c24cc35be17b44c,43,f7d1e22c900920984432af7fce933496,SERVER,12,436.0,2157.5,2117.0,3987.3481058112393,2143.128573005187,1,196,0,0,43,"[0.3333333333333333, 6.0]",,43,2143.128573005187,"[1, 1, 1, 1]","['SERVER', 'SERVER', 'SERVER', 'SERVER']",501.90002145744853
43,45,45,5b1345f03aa1,0.0,2.0,1.0,25,4338499d3c24cc35be17b44c,44,7f3cb3b8a90a3d4f8ebdd810fddf330e,SERVER,2,436.0,54.0,63.0,0.0,0.0,1,50,0,0,44,"[0.0, 2.0]",,44,0.0,"[1, 1, 10]","['SERVER', 'SERVER', 'SERVER']",505.05366803680977
44,46,46,5b1345f03aa1,0.3333333333333333,2.0,1.0,5,4338499d3c24cc35be17b44c,45,7f3cb3b8a90a3d4f8ebdd810fddf330e,SERVER,12,436.0,54.0,48.0,3987.3481058112393,2143.128573005187,1,11,0,0,45,"[0.3333333333333333, 2.0]",,45,2143.128573005187,[10],['SERVER'],485.3063865899343
45,47,47,42aa9724a88c,0.3333333333333333,2.0,1.0,85,e14f55e56de8f9e707c8ff95,46,2f22da6da4f195a4ec7f50e1336019fc,SERVER,13,57.0,53.0,52.0,8494.549242424242,3794.1818181818185,1,198,0,0,46,"[0.3333333333333333, 2.0]",,46,3794.1818181818185,"[1, 10, 10]","['SERVER', 'SERVER', 'SERVER']",596.2104777734764
46,48,48,a8192d6b0ae9,0.3333333333333333,2.0,1.0,9,30185446faeb493c1d55cacd,47,97daaf5b27a47748c3986ac477dc8013,SERVER,14,693.0,1771.0,1775.0,6364.689130434783,3191.8546409499722,1,21,0,0,47,"[0.3333333333333333, 2.0]",,47,3191.8546409499722,"[1, 10, 10, 10, 1]","['SERVER', 'SERVER', 'SERVER', 'SERVER', 'SERVER']",518.080841925076
47,49,49,3d5e1fb89ab2,0.0,2.6666666666666665,1.0,97,97d91ddd2cc12db098a29658,48,c49286aee8a98aaa5a5b39d934da08a2,SERVER,5,1229.0,1229.0,1229.0,0.0,0.0,1,258,0,0,48,"[0.0, 2.6666666666666665]",,48,0.0,[10],['SERVER'],625.2631771698942
48,50,50,3d5e1fb89ab2,0.0,2.6666666666666665,1.0,20,97d91ddd2cc12db098a29658,49,ece6a4b396ef539748a8ce22acece103,SERVER,3,1229.0,1229.0,1229.0,0.0,0.0,1,53,0,0,49,"[0.0, 2.6666666666666665]",,49,0.0,"[10, 10, 10, 10]","['SERVER', 'SERVER', 'SERVER', 'SERVER']",548.8467620318926
49,51,51,58540f191766,0.03333333333333333,0.03333333333333333,1.0,108,d894fd1af131ed7a296716b5,50,2fa7bb498f100294df4518861e9875dd,SERVER,10,345.0,1300.0,1498.0,7914.727272727273,995.821870701513,1,7,0,0,50,"[0.03333333333333333, 0.03333333333333333]",,50,995.821870701513,"[8, 14]","['RASPBERRY', 'RASPBERRY']",641.8666818328222
50,52,52,5b1345f03aa1,0.3333333333333333,2.0,1.0,90,4338499d3c24cc35be17b44c,51,de6617953a53e7c71e3afba4b23aacd7,SERVER,9,436.0,92.5,92.5,3987.3481058112393,2143.128573005187,1,210,0,0,51,"[0.3333333333333333, 2.0]",,51,2143.128573005187,"[7, 1, 7]","['SERVER', 'SERVER', 'SERVER']",634.3077419583816
51,53,53,354e3b81c515,0.3333333333333333,2.0,1.0,70,0be3971157d6c504afbc3397,52,475796281aebd7fbe9d762323683426b,SERVER,13,28.0,30.0,30.0,10856.285714285714,5006.5,1,163,0,0,52,"[0.3333333333333333, 2.0]",,52,5006.5,"[10, 10, 7, 7, 7]","['SERVER', 'SERVER', 'SERVER', 'SERVER', 'SERVER']",614.7844886983862
52,54,54,45bd92802aa9,0.3333333333333333,2.0,1.0,108,21858ac282f1092bb15f8831,53,271c1819bb65326856a6d8fdc04603d9,SERVER,3,287.0,16.0,16.0,2467.0040935672514,3956.5,1,252,0,0,53,"[0.3333333333333333, 2.0]",,53,3956.5,"[10, 10]","['SERVER', 'SERVER']",664.6170607184276
53,55,55,c4cbaac9966d,0.16666666666666666,3.3333333333333335,1.0,36,f17e954e97558148ded21349,54,27b1d7933de2ffa70ce629821d5453e4,SERVER,3,368.0,368.0,368.0,2695.6117647058827,2212.784615384616,1,126,0,0,54,"[0.16666666666666666, 3.3333333333333335]",,54,2212.784615384616,[10],['SERVER'],587.8784443625947
54,56,56,1480b75a8c96,0.3333333333333333,2.0,1.0,31,f2c4b7ef9bca7bf8390f05cd,55,a31ea2878017c03da69bad5292483c45,SERVER,3,325.0,336.0,336.0,6732.520833333334,1595.7,1,72,0,0,55,"[0.3333333333333333, 2.0]",,55,1595.7,"[1, 14, 1, 1, 5]","['SERVER', 'RASPBERRY', 'SERVER', 'SERVER', 'RASPBERRY']",592.6334064920777
55,57,57,de69ddc1064e,0.3333333333333333,2.0,1.0,115,8ccb9c9fe88b53537e096dd9,56,2a1110ebcd7752182c50070c69a90589,SERVER,6,7180.0,22.5,22.5,1975.2819939932187,1470.2898442789435,1,268,0,0,56,"[0.3333333333333333, 2.0]",,56,1470.2898442789435,[10],['SERVER'],718.8139551191234
56,58,58,45bd92802aa9,0.3333333333333333,2.0,1.0,106,21858ac282f1092bb15f8831,57,c78789c893870e46b50aa22e38aab584,SERVER,3,287.0,25.5,25.5,2467.0040935672514,3956.5,1,247,0,0,57,"[0.3333333333333333, 2.0]",,57,3956.5,"[1, 1, 1, 1, 4]","['SERVER', 'SERVER', 'SERVER', 'SERVER', 'SERVER']",762.0675076562604
57,59,59,5b1345f03aa1,0.3333333333333333,2.0,1.0,75,4338499d3c24cc35be17b44c,58,10115eeb7af0d30e281261a8e869ce55,SERVER,16,436.0,128.0,122.0,3987.3481058112393,2143.128573005187,1,175,0,0,58,"[0.3333333333333333, 2.0]",,58,2143.128573005187,"[4, 14]","['SERVER', 'RASPBERRY']",726.0640811203363
58,60,60,eea150bdfdd6,0.3333333333333333,2.0,1.0,64,d31da220e964fb2f1ace98f6,59,4681c36ea1ac14025afd7deb5c7bd6ce,SERVER,6,1167.5,212.0,213.0,3191.56338028169,2719.064516129032,1,149,0,0,59,"[0.3333333333333333, 2.0]",,59,2719.064516129032,"[4, 4, 1]","['SERVER', 'SERVER', 'SERVER']",724.2255704231833
59,61,61,45bd92802aa9,0.3333333333333333,2.0,1.0,90,21858ac282f1092bb15f8831,60,4dfee988862f4a25a919fb08e0659406,SERVER,4,287.0,15.0,15.0,2467.0040935672514,3956.5,1,210,0,0,60,"[0.3333333333333333, 2.0]",,60,3956.5,"[4, 2, 4, 5]","['SERVER', 'RASPBERRY', 'SERVER', 'RASPBERRY']",760.2524709615271
60,62,62,b3bfe9b79bb5,0.0,2.0,1.0,102,e8efa65aa22dff1e98ff15d7,61,89ad42c3436c9c815e14e3c75c6d7e41,SERVER,3,816.0,115.0,135.0,0.0,0.0,1,204,0,0,61,"[0.0, 2.0]",,61,0.0,"[4, 4, 4, 4, 7]","['SERVER', 'SERVER', 'SERVER', 'SERVER', 'SERVER']",792.6451489689962
61,63,63,b3bfe9b79bb5,2.6666666666666665,10.666666666666666,8.0,42,e8efa65aa22dff1e98ff15d7,62,89ad42c3436c9c815e14e3c75c6d7e41,SERVER,12,816.0,115.0,70.0,5275.162420382166,2387.6296296296296,1,560,0,0,62,"[2.6666666666666665, 10.666666666666666]",,62,2387.6296296296296,"[4, 10, 10, 6]","['SERVER', 'SERVER', 'SERVER', 'DESKTOP']",734.573689041171
